"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 27 13:23:42 GMT 2023","Thu Jul 27 13:24:01 GMT 2023","19278","","Users Playlist Generation Sanity:: Chronic AE User Login","","Users Playlist Generation Sanity:: Chronic AE User Login","Verify if login is successful and the playlist option is present on the home screen","Verify if login is successful and the playlist option is present on the home screen","SessionId: ba2135034b4b6b4c4e3633641de9ab8cf09ce639"
"passed","Thu Jul 27 13:22:33 GMT 2023","Thu Jul 27 13:22:37 GMT 2023","4126","","Accounts Tab Sanity Check:","","Accounts Tab Sanity Check:","Verify options on Account Screen are present pre scroll","Verify options on Account Screen are present pre scroll","SessionId: b380c3cca406589ed8aa630b1ef5dcafa4f91806"
"passed","Thu Jul 27 13:39:23 GMT 2023","Thu Jul 27 13:39:27 GMT 2023","4545","","Login screen Reset Password Functionality","","Login screen Reset Password Functionality","Verify if reset Password options works fine","Verify if reset Password options works fine","SessionId: de363f3dbacbd864772c7ab98efbece3058c5d62"
"passed","Thu Jul 27 13:24:57 GMT 2023","Thu Jul 27 13:25:14 GMT 2023","17095","","ET Playlist Execution: sensorlessNeckPlaylist","","ET Playlist Execution: sensorlessNeckPlaylist","navigates to library screen and starts level 1","navigates to library screen and starts level 1","SessionId: 75ab1031b1da2730ee18ea8ba9cc719f990126e5"
"passed","Thu Jul 27 13:38:33 GMT 2023","Thu Jul 27 13:38:43 GMT 2023","10220","","Login screen","","Login screen","shows input validation warnings when no inputs are provided","shows input validation warnings when no inputs are provided","SessionId: 4af2cb9a4c9767430da1899931f121edd2ed74d6"
"passed","Thu Jul 27 13:27:46 GMT 2023","Thu Jul 27 13:27:53 GMT 2023","7161","","Enso Basic Sanity:","","Enso Basic Sanity:","""after all"" hook","""after all"" hook",""
"passed","Thu Jul 27 13:28:30 GMT 2023","Thu Jul 27 13:28:47 GMT 2023","17000","","Groups Tab Basic Sanity","","Groups Tab Basic Sanity","""before all"" hook","""before all"" hook",""
"passed","Thu Jul 27 13:22:44 GMT 2023","Thu Jul 27 13:22:46 GMT 2023","2596","","Accounts Tab Sanity Check:","","Accounts Tab Sanity Check:","logout","logout","SessionId: b380c3cca406589ed8aa630b1ef5dcafa4f91806"
"passed","Thu Jul 27 13:38:09 GMT 2023","Thu Jul 27 13:38:33 GMT 2023","23635","","Login screen","","Login screen","Check if Login is a success","Check if Login is a success","SessionId: 4af2cb9a4c9767430da1899931f121edd2ed74d6"
"passed","Thu Jul 27 13:39:33 GMT 2023","Thu Jul 27 13:39:43 GMT 2023","10417","","Login screen Reset Password Functionality","","Login screen Reset Password Functionality","Verify if reset password works when giving a valid email id","Verify if reset password works when giving a valid email id","SessionId: de363f3dbacbd864772c7ab98efbece3058c5d62"
"passed","Thu Jul 27 13:34:00 GMT 2023","Thu Jul 27 13:34:07 GMT 2023","6492","","Groups Tab Basic Sanity: Groups Tab Functional Test:","","Groups Tab Basic Sanity: Groups Tab Functional Test:","navigates to Groups main page from the Profile Screen via SKIP action","navigates to Groups main page from the Profile Screen via SKIP action","SessionId: 3b97a369934dc10519339fa92574820f268f659c"
"passed","Thu Jul 27 13:22:37 GMT 2023","Thu Jul 27 13:22:44 GMT 2023","6593","","Accounts Tab Sanity Check:","","Accounts Tab Sanity Check:","Verify options on Account Screen are present post scroll","Verify options on Account Screen are present post scroll","SessionId: b380c3cca406589ed8aa630b1ef5dcafa4f91806"
"passed","Thu Jul 27 13:27:42 GMT 2023","Thu Jul 27 13:27:46 GMT 2023","4511","","Enso Basic Sanity:","","Enso Basic Sanity:","verifies if Enso Card is presented on login for Enso user","verifies if Enso Card is presented on login for Enso user","SessionId: ed9df5cd60814c0ad58e40dd9134c092a0c3c88f"
"passed","Thu Jul 27 13:37:58 GMT 2023","Thu Jul 27 13:38:09 GMT 2023","11540","","Login screen","","Login screen","""before all"" hook","""before all"" hook",""
"passed","Thu Jul 27 13:25:15 GMT 2023","Thu Jul 27 13:25:34 GMT 2023","18276","","ET Playlist Execution","","ET Playlist Execution","verifies the info for Bear crawl holds and skips to the next exercise","verifies the info for Bear crawl holds and skips to the next exercise","SessionId: 75ab1031b1da2730ee18ea8ba9cc719f990126e5"
"passed","Thu Jul 27 13:25:14 GMT 2023","Thu Jul 27 13:25:15 GMT 2023","1674","","ET Playlist Execution: sensorlessNeckPlaylist","","ET Playlist Execution: sensorlessNeckPlaylist","completely renders the ET Overview Screen","completely renders the ET Overview Screen","SessionId: 75ab1031b1da2730ee18ea8ba9cc719f990126e5"
"passed","Thu Jul 27 13:36:34 GMT 2023","Thu Jul 27 13:36:40 GMT 2023","5990","","ET Playlist Execution","","ET Playlist Execution","Verify if Articles selection work fine and the items are rendered properly","Verify if Articles selection work fine and the items are rendered properly","SessionId: c0c87cfc89a712016202966695a0d01dd67f5abb"
"passed","Thu Jul 27 13:26:10 GMT 2023","Thu Jul 27 13:26:28 GMT 2023","18080","","ET Playlist Execution","","ET Playlist Execution","verifies the info for Chin tucks and skips to the next exercise","verifies the info for Chin tucks and skips to the next exercise","SessionId: 75ab1031b1da2730ee18ea8ba9cc719f990126e5"
"passed","Thu Jul 27 13:25:52 GMT 2023","Thu Jul 27 13:26:10 GMT 2023","17954","","ET Playlist Execution","","ET Playlist Execution","verifies the info for Child's pose and skips to the next exercise","verifies the info for Child's pose and skips to the next exercise","SessionId: 75ab1031b1da2730ee18ea8ba9cc719f990126e5"
"passed","Thu Jul 27 13:36:15 GMT 2023","Thu Jul 27 13:36:34 GMT 2023","18795","","ET Playlist Execution","","ET Playlist Execution","""before all"" hook","""before all"" hook",""
