"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 12 08:16:05 GMT 2023","Mon Jun 12 08:16:24 GMT 2023","18931","","ET Playlist Execution","","ET Playlist Execution","verifies the info for Child's pose and skips to the next exercise","verifies the info for Child's pose and skips to the next exercise","SessionId: 3f33abf01595c12a26a4a033087875742710bdbf"
"passed","Mon Jul 10 09:15:25 GMT 2023","Mon Jul 10 09:15:30 GMT 2023","4357","","Enso Basic Sanity","","Enso Basic Sanity","verifies if Enso Card is presented on login for Enso user","verifies if Enso Card is presented on login for Enso user","SessionId: 5e20a8fbfabdef571d3b958d105771843b187fec"
"passed","Mon Jun 12 08:16:48 GMT 2023","Mon Jun 12 08:17:01 GMT 2023","13306","","ET Playlist Execution","","ET Playlist Execution","""after all"" hook","""after all"" hook",""
"passed","Mon Jul 10 09:13:08 GMT 2023","Mon Jul 10 09:13:11 GMT 2023","2392","","Accounts Tab Sanity Check:","","Accounts Tab Sanity Check:","logout","logout","SessionId: d8e8d65dcaee8175a088a32fb1a27a83ac485969"
"passed","Mon Jul 10 09:18:02 GMT 2023","Mon Jul 10 09:18:04 GMT 2023","2601","","Levels Sanity Check:","","Levels Sanity Check:","Verify exiting from levels navigates the app to home screen","Verify exiting from levels navigates the app to home screen","SessionId: fcde3b7d97a6f533d87b392e6b24da8de3bf138e"
"failed","Mon Jun 12 07:27:58 GMT 2023","Mon Jun 12 07:27:58 GMT 2023","1","","Enso Basic Sanity:","","Enso Basic Sanity:","<unknown test>","<unknown test>",""
"passed","Mon Jul 10 09:22:27 GMT 2023","Mon Jul 10 09:22:52 GMT 2023","25352","","Progress Tab Sanity Check:","","Progress Tab Sanity Check:","""before all"" hook","""before all"" hook",""
"passed","Mon Jul 10 09:19:16 GMT 2023","Mon Jul 10 09:19:44 GMT 2023","27880","","ET Playlist Execution","","ET Playlist Execution","Verify if Articles List feedback summary works upon a submit","Verify if Articles List feedback summary works upon a submit","SessionId: cce9e74d7296de8077dec55fee76c903b4a6789c"
"passed","Mon Jul 10 09:16:43 GMT 2023","Mon Jul 10 09:16:52 GMT 2023","8068","","Groups Tab Basic Sanity","","Groups Tab Basic Sanity","""after all"" hook","""after all"" hook",""
"passed","Mon Jul 10 09:15:30 GMT 2023","Mon Jul 10 09:15:37 GMT 2023","7443","","Enso Basic Sanity","","Enso Basic Sanity","""after all"" hook","""after all"" hook",""
"passed","Mon Jul 10 09:17:48 GMT 2023","Mon Jul 10 09:18:02 GMT 2023","14134","","Levels Sanity Check:","","Levels Sanity Check:","Verify levels widget on the home screen works","Verify levels widget on the home screen works","SessionId: fcde3b7d97a6f533d87b392e6b24da8de3bf138e"
"passed","Mon Jul 10 09:15:07 GMT 2023","Mon Jul 10 09:15:25 GMT 2023","17694","","Enso Basic Sanity","","Enso Basic Sanity","""before all"" hook","""before all"" hook",""
"passed","Mon Jul 10 09:21:42 GMT 2023","Mon Jul 10 09:21:47 GMT 2023","5124","","Login screen Reset Password Functionality","","Login screen Reset Password Functionality","Verify for an invalid input as email id and expecting the APP to throw and error on the screen","Verify for an invalid input as email id and expecting the APP to throw and error on the screen","SessionId: dc5513522cb5200c1ebc1e79229dc7f68b13a9a2"
"passed","Mon Jul 10 09:13:03 GMT 2023","Mon Jul 10 09:13:08 GMT 2023","5135","","Accounts Tab Sanity Check:","","Accounts Tab Sanity Check:","Verify options on Account Screen are present post scroll","Verify options on Account Screen are present post scroll","SessionId: d8e8d65dcaee8175a088a32fb1a27a83ac485969"
"passed","Mon Jun 12 08:19:04 GMT 2023","Mon Jun 12 08:19:13 GMT 2023","9017","","Enso Basic Sanity:","","Enso Basic Sanity:","""after all"" hook","""after all"" hook",""
"passed","Mon Jul 10 09:16:37 GMT 2023","Mon Jul 10 09:16:43 GMT 2023","6561","","Groups Tab Basic Sanity: Groups Tab Functional Test:","","Groups Tab Basic Sanity: Groups Tab Functional Test:","navigates to Groups main page from the Profile Screen via SKIP action","navigates to Groups main page from the Profile Screen via SKIP action","SessionId: c5047575df20550fb69e90ff5e5477197e3e0e3e"
"passed","Mon Jul 10 09:16:32 GMT 2023","Mon Jul 10 09:16:37 GMT 2023","5236","","Groups Tab Basic Sanity: Groups Tab Functional Test:","","Groups Tab Basic Sanity: Groups Tab Functional Test:","navigates to Groups profile page from the Intro Screen","navigates to Groups profile page from the Intro Screen","SessionId: c5047575df20550fb69e90ff5e5477197e3e0e3e"
"passed","Mon Jun 12 08:19:00 GMT 2023","Mon Jun 12 08:19:04 GMT 2023","3518","","Enso Basic Sanity:: Enso Basic Sanity:","","Enso Basic Sanity:: Enso Basic Sanity:","verifies if Enso Card is presented on login for Enso user","verifies if Enso Card is presented on login for Enso user","SessionId: 8e3463035b4c4c9eef115fbf0776face2fa20d9d"
"passed","Mon Jul 10 09:22:52 GMT 2023","Mon Jul 10 09:22:58 GMT 2023","6070","","Progress Tab Sanity Check:","","Progress Tab Sanity Check:","Verify Progress bar selection and Top page validation","Verify Progress bar selection and Top page validation","SessionId: d30ecd94502a58ddf9e8930d340b0e3cb346b3fb"
"passed","Mon Jul 10 09:20:55 GMT 2023","Mon Jul 10 09:21:00 GMT 2023","5585","","Login screen","","Login screen","shows input validation warnings when no inputs are provided","shows input validation warnings when no inputs are provided","SessionId: c2c3ca976c327754544817dee5294aa422d00abb"
"passed","Mon Jun 12 08:15:43 GMT 2023","Mon Jun 12 08:16:05 GMT 2023","22016","","ET Playlist Execution","","ET Playlist Execution","verifies the info for Cat cow and skips to the next exercise","verifies the info for Cat cow and skips to the next exercise","SessionId: 3f33abf01595c12a26a4a033087875742710bdbf"
"passed","Mon Jun 12 08:14:59 GMT 2023","Mon Jun 12 08:15:20 GMT 2023","21648","","ET Playlist Execution: sensorlessNeckPlaylist","","ET Playlist Execution: sensorlessNeckPlaylist","navigates to library screen and starts level 1","navigates to library screen and starts level 1","SessionId: 3f33abf01595c12a26a4a033087875742710bdbf"
"passed","Mon Jul 10 09:19:04 GMT 2023","Mon Jul 10 09:19:10 GMT 2023","5873","","ET Playlist Execution","","ET Playlist Execution","Verify if Articles selection work fine and the items are rendered properly","Verify if Articles selection work fine and the items are rendered properly","SessionId: cce9e74d7296de8077dec55fee76c903b4a6789c"
"passed","Mon Jul 10 09:21:32 GMT 2023","Mon Jul 10 09:21:37 GMT 2023","4959","","Login screen Reset Password Functionality","","Login screen Reset Password Functionality","""before all"" hook","""before all"" hook",""
"passed","Mon Jul 10 09:16:28 GMT 2023","Mon Jul 10 09:16:32 GMT 2023","3192","","Groups Tab Basic Sanity: Groups Tab Functional Test:","","Groups Tab Basic Sanity: Groups Tab Functional Test:","navigates to Groups Tab a checks the introduction","navigates to Groups Tab a checks the introduction","SessionId: c5047575df20550fb69e90ff5e5477197e3e0e3e"
"passed","Mon Jul 10 09:14:07 GMT 2023","Mon Jul 10 09:14:26 GMT 2023","18864","","Users Playlist Generation Sanity:: Chronic AE User Login","","Users Playlist Generation Sanity:: Chronic AE User Login","Verify if login is successful and the playlist option is present on the home screen","Verify if login is successful and the playlist option is present on the home screen","SessionId: e047e26341cc484723dc300f272393a87a1a0ef8"
"passed","Mon Jul 10 09:21:37 GMT 2023","Mon Jul 10 09:21:42 GMT 2023","4241","","Login screen Reset Password Functionality","","Login screen Reset Password Functionality","Verify if reset Password options works fine","Verify if reset Password options works fine","SessionId: dc5513522cb5200c1ebc1e79229dc7f68b13a9a2"
"passed","Mon Jul 10 09:21:47 GMT 2023","Mon Jul 10 09:21:56 GMT 2023","9817","","Login screen Reset Password Functionality","","Login screen Reset Password Functionality","Verify if reset password works when giving a valid email id","Verify if reset password works when giving a valid email id","SessionId: dc5513522cb5200c1ebc1e79229dc7f68b13a9a2"
"passed","Mon Jul 10 09:12:38 GMT 2023","Mon Jul 10 09:12:59 GMT 2023","21717","","Accounts Tab Sanity Check:","","Accounts Tab Sanity Check:","""before all"" hook","""before all"" hook",""
"passed","Mon Jul 10 09:19:10 GMT 2023","Mon Jul 10 09:19:16 GMT 2023","6446","","ET Playlist Execution","","ET Playlist Execution","Verify if Articles List selection work fine","Verify if Articles List selection work fine","SessionId: cce9e74d7296de8077dec55fee76c903b4a6789c"
"passed","Mon Jun 12 08:16:43 GMT 2023","Mon Jun 12 08:16:48 GMT 2023","4419","","ET Playlist Execution","","ET Playlist Execution","displays the ET Complete screen upon completing the ET session","displays the ET Complete screen upon completing the ET session","SessionId: 3f33abf01595c12a26a4a033087875742710bdbf"
"passed","Mon Jul 10 09:23:45 GMT 2023","Mon Jul 10 09:24:07 GMT 2023","21584","","Weekly Playlist Sanity Check:","","Weekly Playlist Sanity Check:","""before all"" hook","""before all"" hook",""
"passed","Mon Jul 10 09:13:47 GMT 2023","Mon Jul 10 09:14:07 GMT 2023","20432","","Users Playlist Generation Sanity:","","Users Playlist Generation Sanity:","""before all"" hook","""before all"" hook",""
"passed","Mon Jun 12 08:16:24 GMT 2023","Mon Jun 12 08:16:43 GMT 2023","19179","","ET Playlist Execution","","ET Playlist Execution","verifies the info for Chin tucks and skips to the next exercise","verifies the info for Chin tucks and skips to the next exercise","SessionId: 3f33abf01595c12a26a4a033087875742710bdbf"
"passed","Mon Jul 10 09:17:27 GMT 2023","Mon Jul 10 09:17:48 GMT 2023","20495","","Levels Sanity Check:","","Levels Sanity Check:","""before all"" hook","""before all"" hook",""
"passed","Mon Jun 12 08:18:39 GMT 2023","Mon Jun 12 08:19:00 GMT 2023","21219","","Enso Basic Sanity:","","Enso Basic Sanity:","""before all"" hook","""before all"" hook",""
"passed","Mon Jul 10 09:20:34 GMT 2023","Mon Jul 10 09:20:55 GMT 2023","20461","","Login screen","","Login screen","Check if Login is a success","Check if Login is a success","SessionId: c2c3ca976c327754544817dee5294aa422d00abb"
"passed","Mon Jul 10 09:24:10 GMT 2023","Mon Jul 10 09:24:13 GMT 2023","3075","","Weekly Playlist Sanity Check:","","Weekly Playlist Sanity Check:","Verify exiting from Weekly Playlists navigates the app to home screen","Verify exiting from Weekly Playlists navigates the app to home screen","SessionId: 588d7108db2c7c95568de495853269a33567f31b"
"passed","Mon Jul 10 09:12:59 GMT 2023","Mon Jul 10 09:13:03 GMT 2023","3913","","Accounts Tab Sanity Check:","","Accounts Tab Sanity Check:","Verify options on Account Screen are present pre scroll","Verify options on Account Screen are present pre scroll","SessionId: d8e8d65dcaee8175a088a32fb1a27a83ac485969"
"passed","Mon Jun 12 08:15:20 GMT 2023","Mon Jun 12 08:15:23 GMT 2023","2581","","ET Playlist Execution: sensorlessNeckPlaylist","","ET Playlist Execution: sensorlessNeckPlaylist","completely renders the ET Overview Screen","completely renders the ET Overview Screen","SessionId: 3f33abf01595c12a26a4a033087875742710bdbf"
"passed","Mon Jul 10 09:18:45 GMT 2023","Mon Jul 10 09:19:04 GMT 2023","18962","","ET Playlist Execution","","ET Playlist Execution","""before all"" hook","""before all"" hook",""
"passed","Mon Jul 10 09:16:10 GMT 2023","Mon Jul 10 09:16:28 GMT 2023","18206","","Groups Tab Basic Sanity","","Groups Tab Basic Sanity","""before all"" hook","""before all"" hook",""
"passed","Mon Jul 10 09:24:07 GMT 2023","Mon Jul 10 09:24:10 GMT 2023","3187","","Weekly Playlist Sanity Check:","","Weekly Playlist Sanity Check:","Verify WeeklyPlaylists widget on the home screen works","Verify WeeklyPlaylists widget on the home screen works","SessionId: 588d7108db2c7c95568de495853269a33567f31b"
"passed","Mon Jul 10 09:20:24 GMT 2023","Mon Jul 10 09:20:34 GMT 2023","10735","","Login screen","","Login screen","""before all"" hook","""before all"" hook",""
"passed","Mon Jun 12 08:15:23 GMT 2023","Mon Jun 12 08:15:43 GMT 2023","20249","","ET Playlist Execution","","ET Playlist Execution","verifies the info for Bear crawl holds and skips to the next exercise","verifies the info for Bear crawl holds and skips to the next exercise","SessionId: 3f33abf01595c12a26a4a033087875742710bdbf"
