"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jul 27 04:46:00 GMT 2023","Thu Jul 27 04:46:10 GMT 2023","10132","","Acute users without activity plan navigates to AcutePreConsult screen","","Acute users without activity plan navigates to AcutePreConsult screen","opens the About your Physical Therapist resources","opens the About your Physical Therapist resources","SessionId: 89ccdb92dceec59d0c2df19a74119c453a5ae337"
"failed","Thu Jul 27 04:51:56 GMT 2023","Thu Jul 27 04:51:57 GMT 2023","931","","Pause Screen: ET Settings","","Pause Screen: ET Settings","shows sound effects toggle","shows sound effects toggle","SessionId: 9256ab8b66267b2d98832f40a7e7299675c6b50d"
"failed","Thu Jul 27 04:48:24 GMT 2023","Thu Jul 27 04:48:34 GMT 2023","10157","","Pause Screen","","Pause Screen","the modifications video renders correctly","the modifications video renders correctly","SessionId: 9256ab8b66267b2d98832f40a7e7299675c6b50d"
"failed","Thu Jul 27 04:48:13 GMT 2023","Thu Jul 27 04:48:24 GMT 2023","10139","","Pause Screen","","Pause Screen","the instructional video renders correctly","the instructional video renders correctly","SessionId: 9256ab8b66267b2d98832f40a7e7299675c6b50d"
"failed","Thu Jul 27 04:41:48 GMT 2023","Thu Jul 27 04:41:58 GMT 2023","10127","","Acute users with red flags navigates in the onboarding red flow Sanity check","","Acute users with red flags navigates in the onboarding red flow Sanity check","navigates to the VideoStep screen after the Welcome screen","navigates to the VideoStep screen after the Welcome screen","SessionId: 58056f63a369c80675acdf7aa9667a9f1f9872dd"
"failed","Thu Jul 27 04:41:58 GMT 2023","Thu Jul 27 04:42:09 GMT 2023","10151","","Acute users with red flags navigates in the onboarding red flow Sanity check","","Acute users with red flags navigates in the onboarding red flow Sanity check","""after all"" hook","""after all"" hook",""
"failed","Thu Jul 27 04:48:34 GMT 2023","Thu Jul 27 04:48:45 GMT 2023","11005","","Pause Screen","","Pause Screen","restart exercise correctly","restart exercise correctly","SessionId: 9256ab8b66267b2d98832f40a7e7299675c6b50d"
"unknown","Thu Jul 27 04:34:47 GMT 2023","Thu Jan 01 00:00:00 GMT 1970","-1690432487231","","Acute users with green flag navigates in the Onboarding Green Flow Sanity Check:","","Acute users with green flag navigates in the Onboarding Green Flow Sanity Check:","""before all"" hook","""before all"" hook",""
"failed","Thu Jul 27 04:37:47 GMT 2023","Thu Jul 27 04:37:57 GMT 2023","10132","","Acute users with green flag navigates in the Onboarding Green Flow Sanity Check:","","Acute users with green flag navigates in the Onboarding Green Flow Sanity Check:","navigates to the Exercise Plan screen after the Welcome Screen","navigates to the Exercise Plan screen after the Welcome Screen","SessionId: d6d46f5826a12b1034aff82d7c369862244d5479"
"failed","Thu Jul 27 04:37:57 GMT 2023","Thu Jul 27 04:38:07 GMT 2023","10118","","Acute users with green flag navigates in the Onboarding Green Flow Sanity Check:","","Acute users with green flag navigates in the Onboarding Green Flow Sanity Check:","""after all"" hook","""after all"" hook",""
"failed","Thu Jul 27 04:47:37 GMT 2023","Thu Jul 27 04:48:01 GMT 2023","24112","","Pause Screen","","Pause Screen","""before all"" hook","""before all"" hook",""
"unknown","Thu Jul 27 04:42:49 GMT 2023","Thu Jan 01 00:00:00 GMT 1970","-1690432969050","","Acute users without activity plan navigates to AcutePreConsult screen","","Acute users without activity plan navigates to AcutePreConsult screen","""before all"" hook","""before all"" hook",""
"failed","Thu Jul 27 04:52:02 GMT 2023","Thu Jul 27 04:52:12 GMT 2023","10200","","Pause Screen","","Pause Screen","""after all"" hook","""after all"" hook",""
"failed","Thu Jul 27 04:46:21 GMT 2023","Thu Jul 27 04:46:33 GMT 2023","12665","","Acute users without activity plan navigates to AcutePreConsult screen","","Acute users without activity plan navigates to AcutePreConsult screen","""after all"" hook","""after all"" hook",""
"failed","Thu Jul 27 04:51:57 GMT 2023","Thu Jul 27 04:52:02 GMT 2023","5269","","Pause Screen: ET Settings","","Pause Screen: ET Settings","""after all"" hook","""after all"" hook",""
"unknown","Thu Jul 27 04:48:55 GMT 2023","Thu Jan 01 00:00:00 GMT 1970","-1690433335416","","Pause Screen: ET Settings","","Pause Screen: ET Settings","""before all"" hook","""before all"" hook",""
"failed","Thu Jul 27 04:46:10 GMT 2023","Thu Jul 27 04:46:21 GMT 2023","10113","","Acute users without activity plan navigates to AcutePreConsult screen","","Acute users without activity plan navigates to AcutePreConsult screen","opens the Account screen","opens the Account screen","SessionId: 89ccdb92dceec59d0c2df19a74119c453a5ae337"
"failed","Thu Jul 27 04:48:45 GMT 2023","Thu Jul 27 04:48:55 GMT 2023","10147","","Pause Screen","","Pause Screen","end exercise therapy modal renders and functions correctly","end exercise therapy modal renders and functions correctly","SessionId: 9256ab8b66267b2d98832f40a7e7299675c6b50d"
"unknown","Thu Jul 27 04:38:48 GMT 2023","Thu Jan 01 00:00:00 GMT 1970","-1690432728798","","Acute users with red flags navigates in the onboarding red flow Sanity check","","Acute users with red flags navigates in the onboarding red flow Sanity check","""before all"" hook","""before all"" hook",""
